node_a,node_b,weight,type,name
Circulation_001,Door_043,11.725495,access,Circulation_001--Door_043
Circulation_001,Door_040,21.363828,access,Circulation_001--Door_040
Parking_33,Door_143,2.798469,access,Parking_33--Door_143
Elevator_01_Tower_02,Door_041,1.72878,access,Elevator_01_Tower_02--Door_041
Parking_48,Door_129,2.798484,access,Parking_48--Door_129
Parking_46,Door_131,2.798484,access,Parking_46--Door_131
Parking_45,Door_132,2.798484,access,Parking_45--Door_132
Parking_37,Door_139,2.798469,access,Parking_37--Door_139
07_service_area,Door_039,0.9988,access,07_service_area--Door_039
Parking_39,Door_137,2.798469,access,Parking_39--Door_137
Circulation_008,Door_146,14.406993,access,Circulation_008--Door_146
Circulation_008,Door_153,6.997321,access,Circulation_008--Door_153
Circulation_008,Door_154,9.687184,access,Circulation_008--Door_154
Circulation_008,Door_149,5.525514,access,Circulation_008--Door_149
Circulation_008,Door_156,15.229085,access,Circulation_008--Door_156
Circulation_008,Door_155,12.443031,access,Circulation_008--Door_155
Circulation_008,Door_010,15.682544,access,Circulation_008--Door_010
Circulation_008,Door_008,16.339174,access,Circulation_008--Door_008
Circulation_008,Door_151,2.744072,access,Circulation_008--Door_151
Circulation_008,Door_150,3.313061,access,Circulation_008--Door_150
Circulation_008,Door_148,8.136015,access,Circulation_008--Door_148
Circulation_008,Door_147,10.861245,access,Circulation_008--Door_147
Circulation_008,Door_152,4.493548,access,Circulation_008--Door_152
Circulation_008,Door_056,14.406993,access,Circulation_008--Door_056
04_Common_Space,Door_051,3.16164,access,04_Common_Space--Door_051
04_Common_Space,Door_016,1.597487,access,04_Common_Space--Door_016
04_Common_Space,Door_015,2.452305,access,04_Common_Space--Door_015
04_Common_Space,Door_050,4.445523,access,04_Common_Space--Door_050
04_Common_Space,Window_031,5.605471,access,04_Common_Space--Window_031
04_Common_Space,Window_030,5.662254,access,04_Common_Space--Window_030
04_Common_Space,Door_052,4.223446,access,04_Common_Space--Door_052
BOILER ROOM,Door_020,3.466988,access,BOILER ROOM--Door_020
BOILER ROOM,Door_053,3.309535,access,BOILER ROOM--Door_053
Circulation_003,Door_118,2.049132,access,Circulation_003--Door_118
Circulation_003,Door_003,2.888563,access,Circulation_003--Door_003
Circulation_003,Door_002,3.705542,access,Circulation_003--Door_002
01_Lobby,Door_047,3.103021,access,01_Lobby--Door_047
