aperture,type,connected_room_count,connected_rooms,tolerance_used
Window_017,Aperture,2,Circulation_005 | Parking_85,1.0
Window_016,Aperture,1,Parking_85,1.0
Window_015,Aperture,2,Circulation_006 | Parking_85,1.0
Window_014,Aperture,1,Circulation_006,1.0
Window_013,Aperture,2,Circulation_006 | Parking_66,1.0
Window_012,Aperture,1,Parking_66,1.0
Window_011,Aperture,2,Circulation_007 | Parking_66,1.0
Window_010,Aperture,3,Circulation_007 | Parking_77 | Unnamed room,0.6
Window_009,Aperture,3,Circulation_007 | Parking_77 | Unnamed room,1.0
Window_008,Aperture,1,Parking_77,1.0
Window_007,Aperture,1,011_community_hall,1.0
Window_006,Aperture,2,Parking1 | Parking2,1.0
Window_005,Aperture,2,Parking2 | Parking3,1.0
Window_004,Aperture,2,Parking3 | Parking4,1.0
Window_003,Aperture,2,Parking4 | Parking5,1.0
Window_002,Aperture,2,Parking5 | Parking6,1.0
Window_001,Aperture,2,05_FAmily_Room | Parking6,1.0
